,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.94018,20.9298984375,15.4680083740625,15.401681486620479,0.0,497.0,503.0,0.0,0.0
1,1.0,22.52192,15.096,22.04666112,21.851857611608267,0.0,936.0,64.0,0.0,0.0
2,2.0,22.8605,15.0708984375,22.432071914062497,22.397786837169996,0.0,945.0,55.0,0.0,0.0
3,3.0,22.03858,15.1389609375,21.5073093321875,21.393369204349604,0.0,923.0,77.0,0.0,0.0
4,4.0,19.280499999999996,15.5630859375,18.7043008203125,18.419735663986064,0.0,845.0,155.0,0.0,0.0
5,5.0,14.799999999999999,17.109375,15.4928125,14.996786646639736,0.0,700.0,300.0,0.0,0.0
6,6.0,16.67392,16.305375,16.58694338,16.16186334167931,0.0,764.0,236.0,0.0,0.0
7,7.0,13.81792,17.646,15.104154880000001,14.586250022537573,0.0,664.0,336.0,0.0,0.0
8,8.0,18.944499999999998,15.6380859375,18.398941679687496,18.088107689077987,0.0,835.0,165.0,0.0,0.0
9,9.0,10.78888,20.00259375,15.045615752499998,14.433079858006998,0.0,538.0,462.0,0.0,0.0
10,10.0,20.06848,15.408375,19.45334614,19.247240924048413,0.0,868.0,132.0,0.0,0.0
11,11.0,10.408000000000001,20.4,15.20416,14.612482916611734,0.0,520.0,480.0,0.0,0.0
12,12.0,19.34818,15.5486484375,18.7668516709375,18.51643112844301,0.0,847.0,153.0,0.0,0.0
13,13.0,11.914879999999998,18.978375,14.825039939999998,14.205620989236886,0.0,588.0,412.0,0.0,0.0
14,14.0,15.45458,16.7983359375,15.826800394687499,15.330616862961673,0.0,723.0,277.0,0.0,0.0
15,15.0,15.42568,16.81134375,15.810894522499998,15.296771702522975,0.0,722.0,278.0,0.0,0.0
16,16.0,15.483519999999999,16.785375,15.842831979999998,15.325522763991517,0.0,724.0,276.0,0.0,0.0
17,17.0,15.42568,16.81134375,15.810894522499998,15.295019675343097,0.0,722.0,278.0,0.0,0.0
18,18.0,15.339220000000001,16.8506484375,15.763931390937499,15.247284618466402,0.0,719.0,281.0,0.0,0.0
19,19.0,15.138879999999999,16.944,15.658754559999998,15.136097207867754,0.0,712.0,288.0,0.0,0.0
20,20.0,15.39682,16.8243984375,15.7951143840625,15.282495261499061,0.0,721.0,279.0,0.0,0.0
21,21.0,15.657999999999998,16.70859375,15.941660312499998,15.395690688759576,0.0,730.0,270.0,0.0,0.0
22,22.0,14.884179999999999,17.0673984375,15.5325958759375,15.040656573963892,0.0,703.0,297.0,0.0,0.0
23,23.0,14.68832,17.166,15.44153472,14.888805827438874,0.0,696.0,304.0,0.0,0.0
24,24.0,15.25312,16.890375,15.718100419999999,15.203282939817397,0.0,716.0,284.0,0.0,0.0
25,25.0,15.195919999999997,16.91709375,15.688175692499998,15.163162074905559,0.0,714.0,286.0,0.0,0.0
26,26.0,15.39682,16.8243984375,15.7951143840625,15.308796580594683,0.0,721.0,279.0,0.0,0.0
27,27.0,16.04098,16.5480234375,16.1712901634375,15.667487627521707,0.0,743.0,257.0,0.0,0.0
28,28.0,14.91232,17.0535,15.546109280000001,14.99310880620416,0.0,704.0,296.0,0.0,0.0
29,29.0,15.195919999999997,16.91709375,15.688175692499998,15.184203417996073,0.0,714.0,286.0,0.0,0.0
30,30.0,15.11042,16.9575234375,15.6442328934375,15.15523341095507,0.0,711.0,289.0,0.0,0.0
31,31.0,15.339220000000001,16.8506484375,15.763931390937499,15.239372487855567,0.0,719.0,281.0,0.0,0.0
32,32.0,15.31048,16.86384375,15.7485285775,15.211970978924434,0.0,718.0,282.0,0.0,0.0
33,33.0,15.45458,16.7983359375,15.826800394687499,15.297117861950026,0.0,723.0,277.0,0.0,0.0
34,34.0,15.31048,16.86384375,15.7485285775,15.244743414822175,0.0,718.0,282.0,0.0,0.0
35,35.0,15.281779999999998,16.8770859375,15.7332515803125,15.218162069735882,0.0,717.0,283.0,0.0,0.0
36,36.0,15.5125,16.7724609375,15.8589892578125,15.327926179540773,0.0,725.0,275.0,0.0,0.0
37,37.0,15.281779999999998,16.8770859375,15.7332515803125,15.188129191940366,0.0,717.0,283.0,0.0,0.0
38,38.0,15.25312,16.890375,15.718100419999999,15.18795871539473,0.0,716.0,284.0,0.0,0.0
39,39.0,15.224499999999999,16.9037109375,15.7030751171875,15.203249180337686,0.0,715.0,285.0,0.0,0.0
