,Day,Travel time on A,Travel time on B,Mean HDV travel time,Mean HDV Perceived travel time,Mean CAV travel time,HDV count on A,HDV count on B,CAV count on A,CAV count on B
0,0.0,9.5125,21.4599609375,15.7849169921875,15.254815020772936,0.0,475.0,525.0,0.0,0.0
1,1.0,18.87778,15.6536484375,18.3393500290625,16.711226412852465,0.0,833.0,167.0,0.0,0.0
2,2.0,17.73608,15.95634375,17.3765732775,15.646702975693618,0.0,798.0,202.0,0.0,0.0
3,3.0,15.31048,16.86384375,15.7485285775,13.29016271792764,0.0,718.0,282.0,0.0,0.0
4,4.0,13.871120000000001,17.61459375,15.121440232500001,12.448512835420576,0.0,666.0,334.0,0.0,0.0
5,5.0,14.68832,17.166,15.44153472,13.001577954890184,0.0,696.0,304.0,0.0,0.0
6,6.0,13.52818,17.8220859375,15.018165360312501,12.225775484262407,0.0,653.0,347.0,0.0,0.0
7,7.0,14.00482,17.5368984375,15.166873805937499,12.610464368297816,0.0,671.0,329.0,0.0,0.0
8,8.0,13.5805,17.7896484375,15.032656210937501,12.419523408694737,0.0,655.0,345.0,0.0,0.0
9,9.0,13.871120000000001,17.61459375,15.121440232500001,12.296591240827196,0.0,666.0,334.0,0.0,0.0
10,10.0,13.320500000000001,17.9537109375,14.9652898828125,12.264754395411344,0.0,645.0,355.0,0.0,0.0
11,11.0,13.897780000000001,17.5989609375,15.1302732521875,12.542198543080612,0.0,667.0,333.0,0.0,0.0
12,12.0,13.320500000000001,17.9537109375,14.9652898828125,12.186092645538563,0.0,645.0,355.0,0.0,0.0
13,13.0,13.92448,17.583375,15.13923314,12.517160111327774,0.0,668.0,332.0,0.0,0.0
14,14.0,13.0645,18.1224609375,14.910655742187501,12.028311957762375,0.0,635.0,365.0,0.0,0.0
15,15.0,14.1125,17.4755859375,15.2055029296875,12.481427947178782,0.0,675.0,325.0,0.0,0.0
16,16.0,12.862580000000001,18.2608359375,14.876129464687502,11.750268653891988,0.0,627.0,373.0,0.0,0.0
17,17.0,14.77202,17.1234609375,15.4798037221875,13.199887266993098,0.0,699.0,301.0,0.0,0.0
18,18.0,12.39328,18.6015,14.82690224,11.51673708300627,0.0,608.0,392.0,0.0,0.0
19,19.0,13.92448,17.583375,15.13923314,12.3136804392342,0.0,668.0,332.0,0.0,0.0
20,20.0,12.862580000000001,18.2608359375,14.876129464687502,11.679774020759664,0.0,627.0,373.0,0.0,0.0
21,21.0,14.08552,17.49084375,15.1956555425,12.513749636696305,0.0,674.0,326.0,0.0,0.0
22,22.0,13.16642,18.054398437499998,14.930980215937499,12.200216621137548,0.0,639.0,361.0,0.0,0.0
23,23.0,13.21762,18.0206484375,14.941907209062501,12.133492699147919,0.0,641.0,359.0,0.0,0.0
24,24.0,13.65928,17.74134375,15.0553458025,12.442578777952335,0.0,658.0,342.0,0.0,0.0
25,25.0,12.91282,18.2259609375,14.8839952878125,12.125819396474334,0.0,629.0,371.0,0.0,0.0
26,26.0,14.1125,17.4755859375,15.2055029296875,12.380762008855216,0.0,675.0,325.0,0.0,0.0
27,27.0,13.320500000000001,17.9537109375,14.9652898828125,12.043705946397289,0.0,645.0,355.0,0.0,0.0
28,28.0,13.320500000000001,17.9537109375,14.9652898828125,11.995576358598317,0.0,645.0,355.0,0.0,0.0
29,29.0,13.712000000000002,17.709375,15.071107500000002,12.004914279609133,0.0,660.0,340.0,0.0,0.0
30,30.0,13.24328,18.00384375,14.947561822499999,11.911890028676517,0.0,642.0,358.0,0.0,0.0
31,31.0,13.606720000000001,17.7735,15.04009232,12.234391052770144,0.0,656.0,344.0,0.0,0.0
32,32.0,13.192,18.0375,14.936380000000002,12.075241083151537,0.0,640.0,360.0,0.0,0.0
33,33.0,13.502080000000001,17.838375,15.011110660000002,12.249788028278822,0.0,652.0,348.0,0.0,0.0
34,34.0,13.39808,17.904,14.98416384,11.75199481420145,0.0,648.0,352.0,0.0,0.0
35,35.0,13.0645,18.1224609375,14.910655742187501,12.029992496325157,0.0,635.0,365.0,0.0,0.0
36,36.0,13.79138,17.6617734375,15.0957025884375,12.201121789226743,0.0,663.0,337.0,0.0,0.0
37,37.0,13.39808,17.904,14.98416384,11.953350211061904,0.0,648.0,352.0,0.0,0.0
38,38.0,13.26898,17.987085937499998,14.9533438196875,12.07035496541327,0.0,643.0,357.0,0.0,0.0
39,39.0,13.52818,17.8220859375,15.018165360312501,12.085667084725081,0.0,653.0,347.0,0.0,0.0
40,40.0,13.52818,17.8220859375,15.018165360312501,12.052061340959284,0.0,653.0,347.0,0.0,0.0
41,41.0,13.502080000000001,17.838375,15.011110660000002,11.967881968212481,0.0,652.0,348.0,0.0,0.0
42,42.0,13.294720000000002,17.970375,14.959253180000003,11.937896414428545,0.0,644.0,356.0,0.0,0.0
43,43.0,13.450000000000001,17.87109375,14.9973828125,11.904362626018226,0.0,650.0,350.0,0.0,0.0
44,44.0,13.294720000000002,17.970375,14.959253180000003,11.771375262282909,0.0,644.0,356.0,0.0,0.0
45,45.0,13.55432,17.80584375,15.0253472175,12.152457010408025,0.0,654.0,346.0,0.0,0.0
46,46.0,13.37218,17.920523437499998,14.9777452334375,11.920088995863509,0.0,647.0,353.0,0.0,0.0
47,47.0,13.450000000000001,17.87109375,14.9973828125,11.803994250790337,0.0,650.0,350.0,0.0,0.0
48,48.0,13.192,18.0375,14.936380000000002,12.092636991624747,0.0,640.0,360.0,0.0,0.0
49,49.0,13.450000000000001,17.87109375,14.9973828125,11.968896798495456,0.0,650.0,350.0,0.0,0.0
50,50.0,13.37218,17.920523437499998,14.9777452334375,12.288949966950087,0.0,647.0,353.0,0.0,0.0
51,51.0,13.39808,17.904,14.98416384,12.430255943162301,0.0,648.0,352.0,0.0,0.0
52,52.0,13.52818,17.8220859375,15.018165360312501,11.982820495670133,0.0,653.0,347.0,0.0,0.0
53,53.0,13.37218,17.920523437499998,14.9777452334375,11.928535812247887,0.0,647.0,353.0,0.0,0.0
54,54.0,13.450000000000001,17.87109375,14.9973828125,12.171592377660202,0.0,650.0,350.0,0.0,0.0
55,55.0,13.502080000000001,17.838375,15.011110660000002,11.862675321700864,0.0,652.0,348.0,0.0,0.0
56,56.0,13.502080000000001,17.838375,15.011110660000002,12.07274455460829,0.0,652.0,348.0,0.0,0.0
57,57.0,13.55432,17.80584375,15.0253472175,12.089711745275505,0.0,654.0,346.0,0.0,0.0
58,58.0,13.450000000000001,17.87109375,14.9973828125,11.916127869515885,0.0,650.0,350.0,0.0,0.0
59,59.0,13.65928,17.74134375,15.0553458025,12.20521470575575,0.0,658.0,342.0,0.0,0.0
60,60.0,13.294720000000002,17.970375,14.959253180000003,11.993217592478361,0.0,644.0,356.0,0.0,0.0
61,61.0,13.11538,18.0883359375,14.920563005312498,11.89328164430001,0.0,637.0,363.0,0.0,0.0
62,62.0,13.39808,17.904,14.98416384,12.110649207080415,0.0,648.0,352.0,0.0,0.0
63,63.0,13.089920000000001,18.105375000000002,14.915545620000001,11.988089189379245,0.0,636.0,364.0,0.0,0.0
64,64.0,13.65928,17.74134375,15.0553458025,12.132860533294812,0.0,658.0,342.0,0.0,0.0
65,65.0,13.39808,17.904,14.98416384,12.078943172012217,0.0,648.0,352.0,0.0,0.0
66,66.0,13.606720000000001,17.7735,15.04009232,12.10319470930667,0.0,656.0,344.0,0.0,0.0
67,67.0,13.55432,17.80584375,15.0253472175,12.129472393145686,0.0,654.0,346.0,0.0,0.0
68,68.0,13.42402,17.8875234375,14.990709706562502,12.013199049901047,0.0,649.0,351.0,0.0,0.0
69,69.0,13.42402,17.8875234375,14.990709706562502,11.89320273806014,0.0,649.0,351.0,0.0,0.0
70,70.0,13.76488,17.67759375,15.0873772475,12.168497302734826,0.0,662.0,338.0,0.0,0.0
71,71.0,13.39808,17.904,14.98416384,12.279729645283243,0.0,648.0,352.0,0.0,0.0
72,72.0,13.26898,17.987085937499998,14.9533438196875,11.94070483555167,0.0,643.0,357.0,0.0,0.0
73,73.0,13.37218,17.920523437499998,14.9777452334375,12.262408607404087,0.0,647.0,353.0,0.0,0.0
74,74.0,13.68562,17.7253359375,15.0631631346875,12.223892753685298,0.0,659.0,341.0,0.0,0.0
75,75.0,13.55432,17.80584375,15.0253472175,12.027519836229775,0.0,654.0,346.0,0.0,0.0
76,76.0,13.21762,18.0206484375,14.941907209062501,11.814491091926088,0.0,641.0,359.0,0.0,0.0
77,77.0,13.5805,17.7896484375,15.032656210937501,12.03881343766029,0.0,655.0,345.0,0.0,0.0
78,78.0,13.24328,18.00384375,14.947561822499999,12.126547574993777,0.0,642.0,358.0,0.0,0.0
79,79.0,13.52818,17.8220859375,15.018165360312501,11.941945116164506,0.0,653.0,347.0,0.0,0.0
80,80.0,13.37218,17.920523437499998,14.9777452334375,11.989932300289029,0.0,647.0,353.0,0.0,0.0
81,81.0,13.11538,18.0883359375,14.920563005312498,12.012952037263338,0.0,637.0,363.0,0.0,0.0
82,82.0,13.42402,17.8875234375,14.990709706562502,12.117244610146255,0.0,649.0,351.0,0.0,0.0
83,83.0,13.42402,17.8875234375,14.990709706562502,12.133224666203628,0.0,649.0,351.0,0.0,0.0
